"","origin_purpose_cat","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Change mode","2017_2019","Transit",24918.726422743,12098.5714470679,0.325013535037766,0.144385050542752,134,"2021","Transit",9174.42971802633,6039.25778975105,0.175748817343009,0.116642245553066,11
"2","Errand/Other","2017_2019","Transit",70992.7456389112,19601.5295029677,0.0452023692443698,0.012364284371144,538,"2021","Transit",52539.2059721939,20470.0427681537,0.0323556078015446,0.0124089641573351,43
"3","Escort","2017_2019","Transit",19579.8091761206,15763.9332042751,0.0196547049433642,0.015610217215327,124,"2021","Transit",8174.03479999747,10084.7306630819,0.0128091842355379,0.0156743052169616,5
"4","Home","2017_2019","Transit",270259.326637998,36902.2055711779,0.0619330634852347,0.00829939687809432,3276,"2021","Transit",159454.443911252,31018.547774861,0.0333540241259278,0.00641419996661593,174
"5","Meal","2017_2019","Transit",16260.3814784537,4949.88769727085,0.0185327978882332,0.00585025055114567,296,"2021","Transit",19002.1858789539,11615.5350108831,0.0220515363705473,0.0133613816099896,17
"6","School","2017_2019","Transit",30193.0516479376,11238.2686334034,0.234080629634255,0.0826067112084128,197,"2021","Transit",7858.97381707478,6003.09386001053,0.0908864084270561,0.0689021475932392,6
"7","Shop","2017_2019","Transit",63664.6055775126,20789.7072958798,0.0345972574548309,0.0111484532231012,354,"2021","Transit",52126.4854491169,18051.836084042,0.0231773315483791,0.00796518458030935,52
"8","Social/Recreation","2017_2019","Transit",30225.8608439505,6478.23910293863,0.0231799545488614,0.00513098291770824,536,"2021","Transit",25753.9056923317,15282.1609139021,0.015091562614919,0.00887805329412069,17
"9","Work","2017_2019","Transit",161490.754641895,24450.2914650872,0.0822855798666518,0.0124950484250767,2143,"2021","Transit",100672.656645925,26433.9653470772,0.068186508219677,0.0173636006173509,89
"10","Work-related","2017_2019","Transit",32648.2009990426,11216.9442572894,0.0469420749202835,0.0160543470846811,348,"2021","Transit",13553.9867479596,5110.1674314056,0.0332997864999508,0.0132306370369822,23
