"","survey","mode_simple","count","count_moe","share","share_moe","sample_size","year"
"1","2017_2019","Drive",11314232.5040373,292755.573573815,0.818594355188644,0.00804041015071441,38651,"2017/2019"
"2","2017_2019","Transit",720563.696088148,58929.8356779029,0.0521333969371009,0.00422820369269902,7955,"2017/2019"
"3","2017_2019","Walk",1536724.53233345,92907.957796962,0.111183328360911,0.00650611226817544,15622,"2017/2019"
"4","2017_2019","Bike",109769.081954995,29031.0533777375,0.00794188654250607,0.00209258986234402,1089,"2017/2019"
"5","2017_2019","Other",124030.025212109,29759.4771778011,0.00897367792966146,0.00214482469600503,1151,"2017/2019"
"6","2021","Drive",11060555.6690326,233486.13250973,0.796755315048987,0.00904590561042487,8072,"2021"
"7","2021","Transit",448310.308632832,54167.4300150243,0.0322943649381499,0.00388066323485299,437,"2021"
"8","2021","Walk",2091493.02112553,114637.521953919,0.150662247976858,0.00800403697614353,1855,"2021"
"9","2021","Bike",137993.811876736,30670.1894637251,0.00994048638663705,0.00220516613143886,132,"2021"
"10","2021","Other",134467.899705121,31764.2023518906,0.00968649469334484,0.00228229238064143,94,"2021"
