"","telecommute_status","mode_characterization","count","prop","prop_se","est","est_se"
"1","Fully At Home","Bike/Micromobility",118,0.0129254866784497,0.0025828793550152,12095.1188207731,2363.84584727446
"2","Fully At Home","Transit",92,0.023933472429129,0.00736289558844617,22395.9221053279,6958.68193989085
"3","Fully At Home","Walk",820,0.121162265530368,0.0156108670222217,113378.477317005,15350.4990065392
"4","Fully In Person","Bike/Micromobility",340,0.00901954926107578,0.00136857423229076,56035.5399286782,8453.7312897588
"5","Fully In Person","Transit",599,0.017631521810251,0.00198340116438183,109538.937679003,12207.210432319
"6","Fully In Person","Walk",1725,0.0707656644193844,0.00498494467697102,439644.166174097,31095.8816492723
"7","Hybrid","Bike/Micromobility",250,0.0303120387473818,0.00743269945508289,66366.6580657636,16607.9257436495
"8","Hybrid","Transit",501,0.048217145530328,0.00623588190573163,105568.973337197,13794.6426230796
"9","Hybrid","Walk",1801,0.1499425787734,0.00912928528377805,328291.605123808,19299.0512601248
