"","gender_grp","bike_freq","count","prop","prop_se","est","est_se","moe"
"1","Female","1 day a week",31,0.00479415168259394,0.00281225348623469,9081.36492045927,5339.45576818969,0.00462615698485606
"2","Female","1-3 days in the past month",89,0.0184817944394776,0.00507331414083931,35009.3052539796,9680.62985363047,0.00834560176168066
"3","Female","2 days a week",35,0.00457263729737572,0.00175715511125942,8661.75930501711,3324.28581564862,0.00289052015802175
"4","Female","3 days a week",30,0.00195192384819794,0.000746169395261118,3697.44929573061,1407.83580855251,0.00122744865520454
"5","Female","4 days a week",16,0.00177472819400924,0.000979135980492815,3361.79483493214,1852.77391564523,0.00161067868791068
"6","Female","5 days a week",18,0.00554463847952004,0.00328090998718267,10502.9812818308,6234.26340778025,0.0053970969289155
"7","Female","6-7 days a week",16,0.000719262835359524,0.000313219874106612,1362.47009149487,591.044158224014,0.000515246692905376
"8","Female","Never",2984,0.950048738420278,0.00767437560927023,1799638.36295399,70520.978583568,0.0126243478772495
"9","Female","Never in the past 30 days",52,0.0121121248031884,0.00337228010791998,22943.5012870485,6394.66883029785,0.00554740077752836
"10","Male","1 day a week",52,0.0160687088633033,0.00492216447491477,29862.1993243582,9210.10803331888,0.00809696056123479
"11","Male","1-3 days in the past month",97,0.026162276834434,0.00624002859106585,48620.1556238975,11726.329770487,0.0102648470323033
"12","Male","2 days a week",70,0.00981512780506004,0.00271174643361025,18240.5011754317,5030.45624075635,0.00446082288328887
"13","Male","3 days a week",56,0.0149220647333244,0.0046873602242752,27731.2679685892,8764.48747251936,0.00771070756893271
"14","Male","4 days a week",37,0.00743490340249348,0.00327123485648064,13817.0757371584,6096.95643186225,0.00538118133891065
"15","Male","5 days a week",56,0.00620608834620952,0.00261210472648676,11533.4373654827,4860.31796965221,0.00429691227507073
"16","Male","6-7 days a week",33,0.00646879965398421,0.00282636665974196,12021.6618709031,5262.30374153329,0.00464937315527552
"17","Male","Never",2518,0.905018811173602,0.010855508599066,1681893.19760966,69025.5654843399,0.0178573116454636
"18","Male","Never in the past 30 days",61,0.00790321918758953,0.0027542880502658,14687.3970206075,5121.8326490509,0.00453080384268724
"19","Non-binary, another, prefer not to answer","1 day a week",8,0.00263495247221759,0.00173540441951734,1043.35060205809,683.296417313252,0.00285474027010602
"20","Non-binary, another, prefer not to answer","1-3 days in the past month",22,0.0258291159154988,0.0096895289530273,10227.4420222781,3838.89979685972,0.0159392751277299
"21","Non-binary, another, prefer not to answer","2 days a week",8,0.00395052558001602,0.00257427307080343,1564.27232969658,1014.75279497116,0.00423467920147164
"22","Non-binary, another, prefer not to answer","3 days a week",5,0.00261801965182808,0.00158706594539798,1036.64578725242,623.937390603716,0.00261072348017968
"23","Non-binary, another, prefer not to answer","4 days a week",6,0.00742570740719955,0.00507278906764089,2940.32487329397,2008.22912600682,0.00834473801626926
"24","Non-binary, another, prefer not to answer","5 days a week",4,0.000517758759676865,0.00032878297643202,205.014670786477,129.098245090695,0.000540847996230673
"25","Non-binary, another, prefer not to answer","6-7 days a week",8,0.00321380234919792,0.00275679080064231,1272.55525527917,1089.8047672137,0.0045349208670566
"26","Non-binary, another, prefer not to answer","Never",585,0.952546952010631,0.0119300815255466,377175.849032474,32434.1161093295,0.0196249841095241
"27","Non-binary, another, prefer not to answer","Never in the past 30 days",7,0.00126316585373401,0.00059781345656775,500.170256537273,233.212736523075,0.000983403136053949
